MONTH,DAY,YR,HR,MIN,SEC,TEMP,HUMID,CO2PPM,R,G,B,NIR
1,6,2026,15,58,1,21.2,59.2,598,4,1,2,0
1,6,2026,16,15,41,21.2,58.6,600,3,1,2,0
1,6,2026,16,15,49,21.2,58.6,602,3,1,2,0
1,6,2026,16,15,57,21.2,58.7,595,3,1,2,0
1,6,2026,16,16,5,21.2,58.7,598,3,1,2,0
1,6,2026,21,42,3,21.8,59.8,Nan,Nan,Nan,Nan,Nan
1,6,2026,21,44,46,21.8,59.5,Nan,Nan,Nan,Nan,Nan
1,6,2026,21,46,23,21.7,58.7,721,0,0,0,0
1,6,2026,21,59,13,21.7,59.2,Nan,Nan,Nan,Nan,Nan
1,6,2026,21,59,13,Nan,Nan,714,Nan,Nan,Nan,Nan
1,6,2026,21,59,13,Nan,Nan,Nan,0,0,0,Nan
1,6,2026,21,59,24,21.7,59.2,714,0,0,0,0
1,6,2026,21,59,32,21.7,59.3,701,0,0,0,0
1,6,2026,21,59,40,21.7,59.3,694,0,0,0,0
1,6,2026,21,59,48,21.7,59.3,692,0,0,0,0
1,7,2026,4,13,46,21.3,58.3,Nan,Nan,Nan,Nan,Nan
1,7,2026,4,13,46,Nan,Nan,505,Nan,Nan,Nan,Nan
1,7,2026,4,13,46,Nan,Nan,Nan,0,0,0,Nan
1,7,2026,4,13,57,21.3,58.3,506,0,0,0,0
1,7,2026,4,14,5,21.3,58.4,504,0,0,0,0
1,7,2026,4,14,13,21.3,58.3,498,0,0,0,0
1,7,2026,4,14,21,21.3,58.4,496,0,0,0,0
1,8,2026,16,5,30,21.4,56.9,Nan,Nan,Nan,Nan,Nan
1,8,2026,16,5,30,Nan,Nan,509,Nan,Nan,Nan,Nan
1,8,2026,16,5,30,Nan,Nan,Nan,2,1,2,Nan
1,8,2026,16,5,41,21.4,56.9,507,2,1,2,0
1,8,2026,16,5,49,21.4,56.9,507,2,1,2,0
1,8,2026,16,5,57,21.4,56.9,512,2,1,2,0
1,8,2026,16,6,5,21.4,57.0,509,2,1,2,0
1,8,2026,22,19,48,22.5,61.5,Nan,Nan,Nan,Nan,Nan
1,8,2026,22,19,48,Nan,Nan,405,Nan,Nan,Nan,Nan
1,8,2026,22,19,48,Nan,Nan,Nan,5,2,3,Nan
1,8,2026,22,19,59,22.5,61.5,405,5,2,2,0
1,8,2026,22,20,7,22.5,61.4,405,5,2,3,0
1,8,2026,22,20,15,22.5,61.5,405,5,2,3,0
1,8,2026,22,20,23,22.5,61.5,405,5,2,2,0
1,8,2026,22,23,23,22.5,61.8,404,5,2,2,0
1,8,2026,22,23,27,22.5,61.7,404,5,2,3,0
1,8,2026,22,23,31,22.5,61.8,404,5,2,2,0
1,9,2026,7,54,58,22.1,63.9,Nan,Nan,Nan,Nan,Nan
1,9,2026,7,54,58,Nan,Nan,400,Nan,Nan,Nan,Nan
1,9,2026,7,54,58,Nan,Nan,Nan,4,3,4,Nan
1,9,2026,7,55,9,22.1,63.9,400,4,3,4,0
1,9,2026,7,55,17,22.1,64.1,400,4,3,4,0
1,9,2026,13,45,10,24.8,69.6,Nan,Nan,Nan,Nan,Nan
1,9,2026,13,45,10,Nan,Nan,400,Nan,Nan,Nan,Nan
1,9,2026,13,45,10,Nan,Nan,Nan,126,123,94,Nan
1,9,2026,13,45,21,24.8,69.5,400,124,121,95,76
1,9,2026,13,45,29,24.7,69.5,400,123,121,93,75
1,9,2026,13,45,37,24.7,69.4,400,119,120,91,71
1,9,2026,13,45,45,24.7,69.4,400,119,120,91,72
